STATIONS_ID, MESS_DATUM,date, QUALITAETS_NIVEAU, LUFTTEMPERATUR,DAMPFDRUCK,BEDECKUNGSGRAD,LUFTDRUCK_STATIONSHOEHE,REL_FEUCHTE, WINDGESCHWINDIGKEIT, LUFTTEMPERATUR_MAXIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMP_AM_ERDB_MINIMUM, WINDSPITZE_MAXIMUM, NIEDERSCHLAGSHOEHE,NIEDERSCHLAGSHOEHE_IND,SONNENSCHEINDAUER, SCHNEEHOEHE,eor
1766,20000405,4/5/00,10,3.8,5.3,6.3,1005.8,65,5.6,9.9,2.5,3.8,12.8,0,6,0.9,0,eor
1766,20000406,4/6/00,10,5.4,5.9,1.7,1023.3,68,2.8,11.1,-3.8,-7,8.8,0,0,10.2,0,eor
1766,20000407,4/7/00,10,6.9,6.2,3,1025.3,66,3,13.2,-0.3,-3.6,10.4,0,6,9.5,0,eor
1766,20000408,4/8/00,10,6.4,7,7,1017.4,77,1,11.8,-1.7,-4.8,4.4,0,0,5.5,0,eor
1766,20000409,4/9/00,10,7.1,7.2,2.7,1009.9,69,4.3,12.2,3.4,-0.4,11.1,0,0,11.3,0,eor
1766,20000410,4/10/00,10,5.1,5.2,0.3,1005.8,60,3.5,9.9,-1.2,-4.1,9.4,0,0,12.7,0,eor
1766,20000411,4/11/00,10,7.9,7.5,4.3,989.2,73,1.8,14,-1.6,-4.7,10.2,2.9,6,6.8,0,eor
1766,20000412,4/12/00,10,6.3,7.5,4.3,984.8,77,3.6,10.9,4.4,3.1,14.5,0.5,6,3.5,0,eor
1766,20000413,4/13/00,10,5.8,7.7,6.7,988.1,83,4.2,10.7,1.9,-1.5,16.2,12.3,8,2,0,eor
1766,20000414,4/14/00,10,6,8.1,7,993.5,84,3.3,11.4,3.7,3.2,11.3,4.5,6,3.7,0,eor
1766,20000415,4/15/00,10,9.5,9.2,5.3,990,79,3.6,13.6,3.4,0.9,11.3,0.5,6,1.7,0,eor
1766,20000416,4/16/00,10,9.9,7,5.7,993.8,59,4.4,13.9,6.4,6.4,12.9,0.2,6,6.7,0,eor
1766,20000417,4/17/00,10,11.8,9.3,7,995,65,4,14.9,8.6,4.7,11.8,0.1,6,2.1,0,eor
1766,20000418,4/18/00,10,12,8.9,7,1002.9,65,3.2,15.8,7.9,4.9,8.9,0.1,6,3.8,0,eor
1766,20000419,4/19/00,10,13,10.4,7,1004.8,73,1.8,18.1,8.8,7.7,7,0,0,5.8,0,eor
1766,20000420,4/20/00,10,13.1,8.2,2.3,1007.7,58,2.5,20.7,5.6,1.9,9.8,0,0,11.8,0,eor
1766,20000421,4/21/00,10,13.8,10.1,4,1008.5,61,3.3,20,10.5,6.8,10.4,0,0,10.5,0,eor
1766,20000422,4/22/00,10,17,11.9,6.3,1004.5,61,2.5,24.5,6.6,2.4,8.9,2.8,6,2.4,0,eor
1766,20000423,4/23/00,10,14.8,15.2,7.3,1002.1,90,2,18.7,11.5,9,9.3,5,6,2.3,0,eor
1766,20000424,4/24/00,10,9.5,10.9,5.7,1006.7,89,3.2,14.7,7.9,9.4,8.1,0,6,2.2,0,eor
1766,20000425,4/25/00,10,13.8,9.6,2.7,1006.7,65,2.7,19.4,4.9,1.3,7.9,0,0,12.5,0,eor
1766,20000426,4/26/00,10,16.7,12.5,4.3,1003.1,68,3.7,25.3,9.9,7,11.2,4.3,6,10.8,0,eor
1766,20000427,4/27/00,10,19,14.7,6.7,1003.6,71,2.7,24.4,9.3,7.1,9.1,0,0,6.2,0,eor
1766,20000428,4/28/00,10,19.2,14.7,6.7,999.4,66,2.6,23.4,13.5,8.9,7.3,0,0,8.8,0,eor
1766,20000429,4/29/00,10,13.6,15.4,8,1008.8,97,2.7,18.6,12.5,12.3,8.9,0.2,6,0,0,eor
1766,20000430,4/30/00,10,14,15.1,8,1014.9,94,1.7,16.6,11.4,10.3,5.5,0.4,6,0,0,eor
1766,20000501,5/1/00,10,14.4,15,7.7,1015,90,2.9,18.1,12.5,12.9,7.8,0,6,1.1,0,eor
1766,20000502,5/2/00,10,13.6,15,7.7,1014.7,98,3.1,16.1,9.9,9.9,6.9,1,6,0,0,eor
1766,20000503,5/3/00,10,15.2,14.3,7.3,1012.3,84,2.8,20.3,10.6,10.7,6.3,0,6,4.6,0,eor
1766,20000504,5/4/00,10,16.2,12.1,3.7,1012,68,3.2,22.2,10,11.2,9.1,0,0,10.3,0,eor
1766,20000505,5/5/00,10,19,10.9,0.7,1009.7,50,2.8,24.8,8.7,3.9,8.8,0,0,13.9,0,eor
1766,20000506,5/6/00,10,19.7,11.2,0.7,1008.7,49,3.6,25.8,11.6,6.2,10.3,0,0,13.6,0,eor
1766,20000507,5/7/00,10,21,12.5,5,1009.2,51,3,26.8,12.1,9.3,9.5,0.4,6,10.1,0,eor
1766,20000508,5/8/00,10,19.2,14.5,6,1011.3,65,2.1,25.4,13.6,11.7,8.2,0,6,6.3,0,eor
1766,20000509,5/9/00,10,19.2,16,5.7,1011.3,72,1.3,26.1,11.4,8,5.6,3.9,6,9.2,0,eor
1766,20000510,5/10/00,10,19.8,12.7,5,1011,57,2.2,26.8,11.3,9,8.9,0,0,11.2,0,eor
1766,20000511,5/11/00,10,19.1,10.6,5,1012.5,48,3.5,26,10.4,6.5,9,0,0,13.8,0,eor
1766,20000512,5/12/00,10,17.3,10.2,3.3,1015.4,51,4.2,23,11.1,7.2,11.1,0,0,14.4,0,eor
